pos	browser_phylop_allbr	phylop_allbr	phylop_dmel	phylop_dsim	isConsEl	is661	isCDS	isUTR5	isUTR3	isIntron	isIntergenic
11110412	4.22652	4.268	0.039	0.024	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110413	4.3689	4.404	0.039	0.024	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110414	1.30777	1.318	0.057	0.035	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110415	6.14862	6.207	0	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110416	3.58582	3.622	0	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110417	3.58582	3.622	0	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110418	0.0975591	0.146	0.142	0.085	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110419	6.14862	6.207	0	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110420	0.880638	0.908	0.071	0.043	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110421	3.58582	3.622	0	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110422	6.14862	6.207	0	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110423	0.0263701	0.052	0.108	0.065	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110424	0.0263701	0.062	0.151	0.09	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110425	6.14862	6.207	0	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110426	0.453504	0.47	0.086	0.053	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110427	3.58582	3.622	0	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110428	6.291	6.291	0	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110429	1.23658	1.241	0.091	0.055	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110430	0.382315	0.42	0.085	0.051	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
11110431	3.15868	3.205	0	0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
