#chr	start	end	name	null_scale	alt_scale	alt_subscale	lnlratio	pval
chr2L	11110411	11110435	NM_135644_cds_5_0_chr2L_11110316_f	0.20941	0.21083	0.00000	0.30079	0.43797
chr2L	11110435	11110851	NM_135644_utr3_5_0_chr2L_11110436_f	0.33637	0.33727	0.72833	0.33565	0.41260
chr2L	11110556	11110841	NM_135645_utr3_0_0_chr2L_11110557_r	0.26967	0.27013	0.81802	0.08708	0.67644
chr2L	11110841	11110921	NM_135645_cds_0_0_chr2L_11110842_r	0.20591	0.20765	0.00000	0.67878	0.24396
chr2L	11110921	11110979	NM_135645_intron_0_0_chr2L_11110922_r	0.76028	0.74920	2.41300	1.65564	-0.06881
chr2L	11110979	11111935	NM_135645_cds_1_0_chr2L_11110980_r	0.34472	0.34341	1.45763	1.55399	-0.07791
chr2L	11111935	11112013	NM_135645_intron_1_0_chr2L_11111936_r	0.76600	0.75801	1.83852	0.81460	-0.20181
chr2L	11112013	11112431	NM_135645_cds_2_0_chr2L_11112014_r	0.36684	0.36681	1.01237	0.00057	-0.97298
chr2L	11112431	11112492	NM_135645_intron_2_0_chr2L_11112432_r	0.86698	0.84827	2.78763	2.85588	-0.01685
chr2L	11112492	11112949	NM_135645_cds_3_0_chr2L_11112493_r	0.36488	0.36463	1.08225	0.02979	-0.80715
chr2L	11112949	11113061	NM_135645_utr5_3_0_chr2L_11112950_r	0.37187	0.37397	0.40077	0.55991	0.28996
chr2L	11113061	11114013	regul_3.7kb	0.60344	0.60535	0.76496	0.91036	0.17723
chr2L	11114013	11114182	NM_078819_utr5_0_0_chr2L_11114014_f	0.55423	0.55023	1.59998	0.75790	-0.21826
chr2L	11114182	11114209	NM_078819_cds_0_0_chr2L_11114183_f	0.13435	0.13569	0.00000	0.22505	0.50229
